id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2024-197988,2024-05-14,1,Vente,45000.00,134,,"AV MARCEL HAEGELEN",3700,18000,18033,Bourges,18,,,18033000ER0011,,,1,,3,,7,,,,,,3,3,Dépendance,,0,,,,,,2.3735000,47.0683210,000ER
2024-197988,2024-05-14,1,Vente,45000.00,134,,"AV MARCEL HAEGELEN",3700,18000,18033,Bourges,18,,,18033000ER0011,,,1,,3,,7,,,,,,3,2,Appartement,30.00,1,,,,,,2.3735000,47.0683210,000ER
2024-197988,2024-05-14,1,Vente,45000.00,134,,"AV MARCEL HAEGELEN",3700,18000,18033,Bourges,18,,,18033000ER0011,,,1,,3,,7,,,,,,3,2,Appartement,30.00,1,,,,,,2.3735000,47.0683210,000ER
2024-197988,2024-05-14,1,Vente,45000.00,134,,"AV MARCEL HAEGELEN",3700,18000,18033,Bourges,18,,,18033000ER0011,,,1,,3,,7,,,,,,3,3,Dépendance,,0,,,,,,2.3735000,47.0683210,000ER
2024-197990,2024-05-07,1,Vente,114000.00,35,,"AV DU 11 NOVEMBRE",4273,18000,18033,Bourges,18,,,18033000HV0583,,,148,,,,,,,,,,1,4,"Local industriel. commercial ou assimilé",103.00,0,,,,,,2.3980740,47.0901370,000HV
2024-197990,2024-05-07,1,Vente,114000.00,,,"ALL DES PRES FLEURIS",4926,18000,18033,Bourges,18,,,18033000HV0625,,,,,,,,,,,,,0,,,,,S,sols,,,1530.00,2.3975320,47.0895260,000HV
2024-197991,2024-05-07,2,Vente,5000.00,4,,"ALL DES PRES FLEURIS",4926,18000,18033,Bourges,18,,,18033000HV0533,,,219,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3982720,47.0888110,000HV
2024-197991,2024-05-07,2,Vente,5000.00,,,"ALL DES PRES FLEURIS",4926,18000,18033,Bourges,18,,,18033000HV0625,,,,,,,,,,,,,0,,,,,S,sols,,,1530.00,2.3975320,47.0895260,000HV
2024-197992,2024-05-15,1,Vente,135000.00,12,,"RUE DU GEN GOURAUD",2516,18000,18033,Bourges,18,,,18033000IP0005,,,,,,,,,,,,,0,1,Maison,103.00,4,S,sols,,,564.00,2.4183290,47.1106270,000IP
2024-197993,2024-05-08,1,Vente,12000.00,19,,"RUE COURSARLON",1610,18000,18033,Bourges,18,,,18033000IO0684,,,90,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3967930,47.0850590,000IO
2024-197994,2024-05-13,1,Vente,102000.00,22,,"RUE DE LA CHAPPE",1080,18000,18033,Bourges,18,,,18033000IN0525,,,,,,,,,,,,,0,1,Maison,41.00,3,S,sols,,,70.00,2.3908580,47.0814620,000IN
2024-197996,2024-05-08,1,Vente,45000.00,54,,"RUE COURSARLON",1610,18000,18033,Bourges,18,,,18033000HY0004,,,3,40.35,4,,,,,,,,2,2,Appartement,44.00,2,,,,,,2.3982090,47.0852780,000HY
2024-197999,2024-05-06,1,Vente,15000.00,19,,"RUE COURSARLON",1610,18000,18033,Bourges,18,,,18033000IO0684,,,70,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3967930,47.0850590,000IO
2024-198008,2024-05-31,1,Vente,148000.00,,,"RUE DE SERBIE",5480,18000,18033,Bourges,18,,,18033000CI0286,,,,,,,,,,,,,0,,,,,S,sols,,,254.00,2.4212050,47.0773060,000CI
2024-198008,2024-05-31,1,Vente,148000.00,14,T,"RUE DE SERBIE",5480,18000,18033,Bourges,18,,,18033000CI0339,,,,,,,,,,,,,0,1,Maison,80.00,3,S,sols,,,264.00,2.4210780,47.0773330,000CI
2024-198025,2024-05-30,1,Vente,200000.00,112,B,"RUE BOURBONNOUX",0690,18000,18033,Bourges,18,,,18033000IO0269,,,,,,,,,,,,,0,1,Maison,183.00,6,S,sols,,,114.00,2.4002660,47.0821170,000IO
2024-198026,2024-05-15,1,Vente,210000.00,32,,"RUE LOUIS DAQUIN",3515,18000,18033,Bourges,18,,,18033000CY0206,,,,,,,,,,,,,0,1,Maison,127.00,4,S,sols,,,868.00,2.4092550,47.0526350,000CY
2024-198038,2024-05-16,1,Vente,67000.00,24,,"BD MAL JOFFRE",3760,18000,18033,Bourges,18,,,18033000IK0293,,,7,37.80,,,,,,,,,1,2,Appartement,39.00,1,,,,,,2.4034820,47.0744870,000IK
2024-198042,2024-05-08,1,Vente,57000.00,54,,"RUE COURSARLON",1610,18000,18033,Bourges,18,,,18033000HY0004,,,3,34.65,,,,,,,,,1,2,Appartement,44.00,2,,,,,,2.3982090,47.0852780,000HY
2024-198045,2024-06-06,1,Vente,200000.00,88,,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0506,,,,,,,,,,,,,0,3,Dépendance,,0,AG,"terrains d'agrément",,,144.00,2.4147680,47.0684920,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0506,,,,,,,,,,,,,0,1,Maison,60.00,4,AG,"terrains d'agrément",,,144.00,2.4147680,47.0684920,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0506,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500.00,2.4147680,47.0684920,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0506,,,,,,,,,,,,,0,1,Maison,60.00,4,S,sols,,,500.00,2.4147680,47.0684920,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,B,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0509,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500.00,2.4147330,47.0685370,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,B,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0509,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,500.00,2.4147330,47.0685370,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,B,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0509,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,161.00,2.4147330,47.0685370,000DI
2024-198045,2024-06-06,1,Vente,200000.00,88,B,"AV DE DUN",1860,18000,18033,Bourges,18,,,18033000DI0509,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,161.00,2.4147330,47.0685370,000DI
2024-198048,2024-05-14,1,Vente,233755.00,56,,"AV JEAN JAURES",3080,18000,18033,Bourges,18,,,18033000HV0288,,,100,88.00,101,,73,,98,40.10,99,35.50,5,4,"Local industriel. commercial ou assimilé",160.00,0,,,,,,2.3937520,47.0897690,000HV
2024-198051,2024-05-24,1,Vente,90000.00,1,,"RUE DES MESANGES",3943,18000,18033,Bourges,18,,,18033000AE0456,,,,,,,,,,,,,0,1,Maison,94.00,5,S,sols,,,371.00,2.3955370,47.1183460,000AE
2024-198051,2024-05-24,1,Vente,90000.00,,,"RUE DES MESANGES",3943,18000,18033,Bourges,18,,,18033000AE0470,,,,,,,,,,,,,0,,,,,S,sols,,,194.00,2.3958170,47.1182330,000AE
2024-198059,2024-05-27,1,Vente,107000.00,2,,"LES BOUTIQUES DU LAC",X991,18000,18033,Bourges,18,,,18033000DR0191,,,1,73.00,,,,,,,,,1,4,"Local industriel. commercial ou assimilé",70.00,0,,,,,,2.3980270,47.0637930,000DR
2024-198061,2024-05-27,1,Vente,313000.00,42,,"RUE DU PARC",4310,18000,18033,Bourges,18,,,18033000DI0192,,,,,,,,,,,,,0,1,Maison,174.00,5,S,sols,,,579.00,2.4103000,47.0688610,000DI
2024-198061,2024-05-27,1,Vente,313000.00,37,,"RUE DE GIONNE",2552,18000,18033,Bourges,18,,,18033000DI0411,,,,,,,,,,,,,0,,,,,S,sols,,,159.00,2.4107920,47.0685880,000DI
2024-198061,2024-05-27,1,Vente,313000.00,37,,"RUE DE GIONNE",2552,18000,18033,Bourges,18,,,18033000DI0412,,,,,,,,,,,,,0,,,,,S,sols,,,208.00,2.4104540,47.0687770,000DI
2024-198063,2024-05-30,1,"Vente en l'état futur d'achèvement",207080.00,26,,"RUE JACQUES BREL",2951,18000,18033,Bourges,18,,,18033000EO0940,,,38,,,,,,,,,,1,,,,,,,,,,2.3642870,47.0667030,000EO
2024-198064,2024-05-24,1,Vente,45000.00,201,,"BD DE L AVENIR",0290,18000,18033,Bourges,18,,,18033000DY0858,,,,,,,,,,,,,0,4,"Local industriel. commercial ou assimilé",240.00,0,S,sols,,,177.00,2.3876910,47.0723260,000DY
2024-198064,2024-05-24,1,Vente,45000.00,201,,"BD DE L AVENIR",0290,18000,18033,Bourges,18,,,18033000DY0859,,,,,,,,,,,,,0,4,"Local industriel. commercial ou assimilé",350.00,0,S,sols,,,242.00,2.3875460,47.0723450,000DY
2024-198065,2024-05-24,1,Vente,78000.00,148,,"RUE BARBES",0340,18000,18033,Bourges,18,,,18033000DY0686,,,143,47.86,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3882340,47.0725050,000DY
2024-198065,2024-05-24,1,Vente,78000.00,148,,"RUE BARBES",0340,18000,18033,Bourges,18,,,18033000DY0686,,,143,47.86,,,,,,,,,1,2,Appartement,50.00,2,,,,,,2.3882340,47.0725050,000DY
2024-198066,2024-05-28,1,Vente,83500.00,121,,"RUE CHARLET",1160,18000,18033,Bourges,18,,,18033000BV0023,,,150,15.00,,,,,,,,,1,3,Dépendance,,0,,,,,,2.4178460,47.0845850,000BV
2024-198066,2024-05-28,1,Vente,83500.00,121,,"RUE CHARLET",1160,18000,18033,Bourges,18,,,18033000BV0023,,,10,,51,60.74,,,,,,,2,2,Appartement,61.00,4,,,,,,2.4178460,47.0845850,000BV
2024-198066,2024-05-28,1,Vente,83500.00,121,,"RUE CHARLET",1160,18000,18033,Bourges,18,,,18033000BV0023,,,10,,51,60.74,,,,,,,2,3,Dépendance,,0,,,,,,2.4178460,47.0845850,000BV
2024-198067,2024-05-24,1,Vente,93000.00,,,"LES BREUSSES",B022,18000,18033,Bourges,18,,,18033000EO1009,,,,,,,,,,,,,0,,,,,AB,"terrains a bâtir",,,1105.00,2.3677330,47.0679130,000EO
2024-198068,2024-05-22,1,Vente,134827.00,10,,"ALL ADRIENNE BOLLAND",0054,18000,18033,Bourges,18,,,18033000EO0454,,,,,,,,,,,,,0,1,Maison,72.00,3,S,sols,,,700.00,2.3664830,47.0665270,000EO
2024-198071,2024-05-15,1,Vente,56000.00,8,,"RUE LOUIS PAULIAT",3560,18000,18033,Bourges,18,,,18033000IO0243,,,8,27.30,,,,,,,,,1,2,Appartement,32.00,1,,,,,,2.3978850,47.0826640,000IO
2024-198071,2024-05-15,1,Vente,56000.00,8,,"RUE LOUIS PAULIAT",3560,18000,18033,Bourges,18,,,18033000IO0243,,,108,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3978850,47.0826640,000IO
2024-198072,2024-05-15,1,Vente,300000.00,10,,"RUE POISSONNERIE",4790,18000,18033,Bourges,18,,,18033000HX0083,,,24,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3993260,47.0857330,000HX
2024-198072,2024-05-15,1,Vente,300000.00,10,,"RUE POISSONNERIE",4790,18000,18033,Bourges,18,,,18033000HX0083,,,15,140.95,26,,,,,,,,2,4,"Local industriel. commercial ou assimilé",415.00,0,,,,,,2.3993260,47.0857330,000HX
2024-198104,2024-06-04,1,Vente,266500.00,5,,"RUE BLANQUI",0620,18000,18033,Bourges,18,,,18033000DY0320,,,,,,,,,,,,,0,1,Maison,89.00,3,S,sols,,,338.00,2.3887720,47.0751460,000DY
2024-198104,2024-06-04,1,Vente,266500.00,5,,"RUE BLANQUI",0620,18000,18033,Bourges,18,,,18033000DY0320,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,338.00,2.3887720,47.0751460,000DY
2024-198105,2024-06-05,1,Vente,99000.00,27,,"RUE LOUIS MALLET",3554,18000,18033,Bourges,18,,,18033000EW0229,,,4,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3861660,47.0788560,000EW
2024-198105,2024-06-05,1,Vente,99000.00,27,,"RUE LOUIS MALLET",3554,18000,18033,Bourges,18,,,18033000EW0229,,,33,63.20,,,,,,,,,1,3,Dépendance,,0,,,,,,2.3861660,47.0788560,000EW
2024-198105,2024-06-05,1,Vente,99000.00,27,,"RUE LOUIS MALLET",3554,18000,18033,Bourges,18,,,18033000EW0229,,,33,63.20,,,,,,,,,1,2,Appartement,65.00,3,,,,,,2.3861660,47.0788560,000EW
